threshold,auc_I,auc_II,mean_conf_correct,mean_conf_incorrect,conf_var_correct,conf_var_incorrect,day,set,subject
50.75376884,0.803241812,0.8046875,3.4286,1.5,0.67347,1.25,1,2,8
47.98994975,0.941858258,0.725,3.2222,2,0.50617,1,1,2,8
52.51256281,0.666149142,0.607142857,3.1667,2.75,0.97222,0.9375,1,2,8
47.98994975,0.903676433,0.6625,3.6667,3.5,0.33333,0.25,1,2,8
48.49246231,0.914454655,0.7,3.5882,3,0.7128,0.66667,1,2,8
49.24623116,0.741,0.588235294,2.9333,2.6,1.3956,0.64,1,2,8
48.24120603,0.955454095,0.847368421,3.5294,1.3333,0.83737,0.22222,1,2,8
47.73869347,0.912073765,0.777777778,3.5,2.5,0.75,0.25,1,2,8
47.73869347,0.920384718,0.787037037,3.6875,2.25,0.33984,1.1875,1,2,8
49.24623116,0.88855,0.71484375,3.1429,2.1667,1.2653,0.47222,1,2,8
48.24120603,0.770466625,0.600840336,3.2,2.8,0.56,0.96,1,2,8
52.51256281,0.754061076,0.725,3.3333,2.375,0.88889,0.73438,1,2,8
51.50753769,0.670324962,0.57037037,2.9231,2.7143,0.3787,0.20408,1,2,8
50,0.771203932,0.651260504,2.8,2,1.2267,1.2,1,2,8
50,0.787975942,0.718487395,3.4667,2.6,0.64889,0.64,1,2,8
50,0.865466608,0.668067227,3.1333,2.6,0.78222,0.24,1,2,8
49.24623116,0.85942496,0.648148148,2.75,2,0.9375,0.5,1,2,8
49.24623116,0.792499875,0.564814815,3.125,3.25,1.2344,0.1875,1,2,8
51.25628141,0.752019869,0.666666667,2.5385,1.7143,1.1716,0.4898,1,2,8
49.24623116,0.812467831,0.583333333,2.75,2.5,1.0625,0.25,1,2,8
47.73869347,0.934633353,0.69375,3.2778,2.5,0.86728,0.25,1,2,8
49.49748744,0.832380937,0.617647059,3.7333,3.4,0.19556,0.64,1,2,8
48.74371859,0.75161683,0.472222222,2.9375,3.25,1.0586,0.6875,1,2,8
33.16582915,0.97549209,0.79375,3.6111,2.5,0.45988,0.25,1,1,9
38.94472362,0.626785621,0.688811189,3.3636,2.7778,0.77686,0.39506,1,1,9
35.1758794,0.653095401,0.504201681,3,3.2,1.3333,0.56,1,1,9
35.67839196,0.853401736,0.7265625,3.2143,2.3333,0.7398,0.55556,1,1,9
35.42713568,0.779374938,0.558823529,3.5333,3.6,0.64889,0.24,1,1,9
36.18090452,0.781250103,0.630252101,3.1333,2.6,0.51556,1.04,1,1,9
35.67839196,0.701925125,0.495798319,2.6,2.6,0.50667,1.04,1,1,9
37.43718593,0.757383235,0.537037037,3.0769,3,0.68639,0.28571,1,1,9
34.42211055,0.974241435,0.84375,3.5556,1.5,0.46914,0.25,1,1,9
36.68341709,0.81303051,0.72265625,3.3571,2.3333,0.94388,0.88889,1,1,9
35.42713568,0.80505,0.555555556,3.0625,3,0.93359,0.5,1,1,9
37.43718593,0.657758375,0.588888889,2.6154,2.1429,1.6213,1.2653,1,1,9
50.75376884,0.8235,0.7265625,3.2857,2.5,0.34694,0.58333,1,1,9
42.71356784,0.98361154,0.761363636,3.65,NaN,0.4275,NaN,1,1,9
51.25628141,0.773591563,0.646428571,3.3333,2.875,1.2222,0.85938,1,1,9
50.75376884,0.756363809,0.67037037,3.5385,2.7143,0.40237,1.3469,1,1,9
50.25125628,0.865353084,0.76953125,3.3571,2.3333,0.80102,0.22222,1,1,9
51.00502513,0.75905,0.62962963,3.0769,2.5714,1.3018,0.81633,1,1,9
56.28140704,0.638484836,0.722222222,3.4,2.4,0.44,1.04,1,1,9
52.51256281,0.625000035,0.610714286,3.0833,2.625,0.57639,0.98438,1,1,9
47.98994975,0.965050018,0.85625,3.6667,1.5,0.44444,0.25,1,1,9
48.74371859,0.912575355,0.742105263,3.8235,3.3333,0.26298,0.22222,1,1,9
46.98492462,0.9806,0.841269841,3.7368,1,0.61496,0,1,1,9
48.99497487,0.821813387,0.676470588,3.8667,3,0.11556,1.6,1,1,9
48.74371859,0.93585763,0.705263158,3,2.3333,0.23529,0.22222,1,2,10
47.98994975,0.87234171,0.5625,3.0556,3,0.3858,1,1,2,10
46.98492462,0.868888444,0.596638655,3,2.6,0.66667,1.04,1,2,10
49.24623116,0.746041728,0.696296296,2.9231,2.2857,0.071006,0.4898,1,2,10
48.49246231,0.853080985,0.672268908,2.8667,2.2,0.51556,0.56,1,2,10
46.98492462,0.9266,0.694736842,2.3529,1.3333,0.46367,0.22222,1,2,10
47.2361809,0.8262118,0.583333333,2.5,2.25,0.375,0.1875,1,2,10
54.27135678,0.59429283,0.628472222,2.7,2.3,0.21,0.41,1,2,10
45.72864322,0.9802,0.714285714,2.9474,2,0.049861,0,1,2,10
47.98994975,0.83205,0.647058824,2.5333,2,0.38222,0.4,1,2,10
47.48743719,0.87621122,0.680555556,2.5625,2,0.24609,0,1,2,10
46.23115578,0.89155,0.50625,2.5,2.5,0.36111,0.25,1,2,10
43.2160804,0.931009701,0.757894737,3.2941,2.3333,0.44291,0.22222,1,2,10
43.46733668,0.794583313,0.435185185,3.125,3.5,0.48438,0.75,1,2,10
43.46733668,0.57199987,0.467592593,3.1875,3.5,0.52734,0.25,1,2,10
44.22110553,0.831868391,0.693277311,2.8667,2,0.38222,1.2,1,2,10
42.46231156,0.92414094,0.757894737,3.4706,2.6667,0.24913,0.22222,1,2,10
42.71356784,0.85419154,0.666666667,3.3125,2.75,0.46484,0.6875,1,2,10
37.93969849,0.9851,0.806818182,3.85,NaN,0.1275,NaN,1,2,10
37.18592965,0.9851,0.840909091,4,NaN,0,NaN,1,2,10
32.91457286,0.89855,0.791666667,3.625,2.75,0.23438,0.1875,1,2,10
30.15075377,0.984316665,0.801587302,3.4737,1,0.77562,0,1,2,10
28.64321608,0.948800165,0.698412698,3.9474,4,0.049861,0,1,2,10
24.62311558,0.97655,0.89375,3.8889,1.5,0.098765,0.25,1,2,10
52.51256281,0.744425188,0.742857143,2.6667,1.625,0.72222,0.48438,1,1,11
50.75376884,0.780656219,0.6640625,3,2.3333,1.1429,0.55556,1,1,11
51.50753769,0.785466625,0.67037037,3.1538,2.4286,1.2071,0.81633,1,1,11
46.98492462,0.984525,0.825396825,3.5789,1,0.55956,0,1,1,11
49.24623116,0.869583273,0.601851852,3.1875,3,1.1523,0.5,1,1,11
48.49246231,0.86833348,0.636842105,3.3529,3,0.81661,0.66667,1,1,11
47.98994975,0.884890182,0.642105263,3.2941,2.6667,0.79585,1.5556,1,1,11
